Witel;Tahun/Bln;Divisi;Target Sustain;Target Scaling;Takut Revenue;
SUMSEL;2021/1;DBS;1,618,363,647;198,873,551;1,817,237,198;
SUMSEL;2021/2;DBS;1,576,795,977;263,165,573;1,839,961,550;
SUMSEL;2021/3;DBS;1,536,295,972;329,961,251;1,866,257,233;
SUMSEL;2021/4;DBS;1,496,836,210;396,994,601;1,893,830,811;
SUMSEL;2021/5;DBS;1,458,389,972;452,377,274;1,910,767,246;
SUMSEL;2021/6;DBS;1,420,931,226;515,587,701;1,936,518,927;
SUMSEL;2021/7;DBS;1,384,434,607;587,411,214;1,971,845,821;
SUMSEL;2021/8;DBS;1,348,875,404;658,267,810;2,007,143,214;
SUMSEL;2021/9;DBS;1,314,229,539;729,303,496;2,043,533,035;
SUMSEL;2021/10;DBS;1,280,473,554;800,114,723;2,080,588,277;
SUMSEL;2021/11;DBS;1,247,584,590;869,917,221;2,117,501,811;
SUMSEL;2021/12;DBS;1,215,540,380;938,831,856;2,154,372,236;
